"zipcode","centile","superzip","rank","city","state","adultpop","households","college","income","State","Congressional.District"
"1",1001,60.37489,0,6115,"Agawam","MA",12293,4219,"22.06947%",73.40212,25,1
"2",1002,93.69713,0,975,"Amherst","MA",14232,5081,"68.52867%",82.63116,25,2
"3",1005,58.31555,0,6511,"Barre","MA",3348,1400,"20.51971%",73.19553,25,2
"4",1007,73.90479,0,3914,"Belchertown","MA",8577,3547,"31.38627%",79.51516,25,2
"5",1008,67.29552,0,4922,"Blandford","MA",845,348,"25.79882%",77.63875,25,1
"6",1010,69.76566,0,4540,"Brimfield","MA",2252,887,"27.79751%",78.38147,25,1
"7",1011,53.51199,0,7461,"Chester","MA",1392,562,"20.97701%",66.25217,25,1
"8",1012,61.43032,0,NA,"Chesterfield","MA",353,139,"23.22946%",72.73525,25,1
"9",1013,19.7488,0,16563,"Chicopee","MA",15464,5902,"10.79281%",52.71066,25,1
"10",1020,35.73232,0,11659,"Chicopee","MA",20681,7857,"13.21019%",61.70303,25,1
"11",1022,41.91482,0,10063,"Chicopee","MA",1550,492,"15.80645%",62.83802,25,1
"12",1026,71.10106,0,4326,"Cummington","MA",715,285,"38.46154%",62.55689,25,1
"13",1027,62.67937,0,5702,"Easthampton","MA",12506,4612,"24.83608%",71.93761,25,1
"14",1028,80.53981,0,2888,"East Longmeadow","MA",9871,3997,"32.67146%",92.616,25,1
"15",1029,57.07029,0,NA,"East Otis","MA",402,172,"24.62687%",64.56275,25,1
"16",1030,64.45013,0,5401,"Feeding Hills","MA",7865,3228,"20.47044%",82.06367,25,1
"17",1031,51.39536,0,7922,"Gilbertville","MA",798,310,"16.91729%",70.51756,25,2
"18",1032,76.05653,0,NA,"Goshen","MA",157,48,"42.67516%",64.56275,25,1
"19",1033,62.46228,0,5749,"Granby","MA",4156,1695,"22.95476%",74.83395,25,1
"20",1034,73.71946,0,3939,"Granville","MA",1332,525,"31.00601%",79.89828,25,1
"21",1035,81.09335,0,2802,"Hadley","MA",3486,1240,"40.2467%",80.93652,25,2
"22",1036,82.44339,0,2600,"Hampden","MA",3500,1448,"32.77143%",97.4162,25,1
"23",1037,73.96235,0,NA,"Hardwick","MA",456,196,"33.99123%",75.187,25,2
"24",1038,71.10281,0,4324,"Hatfield","MA",1917,727,"29.6818%",77.71328,25,2
"25",1039,76.95435,0,3441,"Haydenville","MA",840,307,"36.54762%",77.09348,25,2
"26",1039,76.95435,0,3441,"Haydenville","MA",840,307,"36.54762%",77.09348,25,1
"27",1040,25.87038,0,14568,"Holyoke","MA",24509,9530,"16.93256%",47.24359,25,1
"28",1050,55.07983,0,7137,"Huntington","MA",1579,677,"20.45598%",69.16943,25,1
"29",1053,82.11803,0,2656,"Leeds","MA",1108,340,"41.42599%",81.49094,25,2
"30",1054,93.36085,0,1022,"Leverett","MA",993,379,"62.63847%",89.8975,25,2
"31",1056,50.34317,0,8153,"Ludlow","MA",14770,5492,"14.7935%",73.02031,25,1
"32",1057,63.55261,0,5563,"Monson","MA",5648,2212,"22.66289%",76.8215,25,1
"33",1060,85.23329,0,2185,"Northampton","MA",10508,2740,"52.02703%",72.37566,25,2
